ID_TWEET;IDIOMA;TIMEZONE;USER;TEXTO_TWEET;TEXTO_RT;TEXTO_QUOTE;TEXTO_QUOTE_RT
989724442782674951;pt;Brasilia;luiz_g_;"e se os chatos usassem drogas... o fim do mundo bugava. bingo! https://t.co/4PKJbc8NoC";"";"duas coisas vão acabar com o mundo: as drogas e os chatos. (o aquecimento global não vai ter nem tempo...)";""
989745406895534080;pt;Brasilia;UaiGoiano;"";"Eu tô muito preocupado com o “Aquecimento Global”. https://t.co/ZpdDOJmZRN";"";""
989776164599164930;pt;Brasilia;_ihu;"Estudo indica que o aquecimento global intensificará as secas na Europa https://t.co/rsqX3y49e1";"";"";""
989806034742018048;pt;Brasilia;krolquintana;"";"duas coisas vão acabar com o mundo: as drogas e os chatos. (o aquecimento global não vai ter nem tempo...)";"";""
989812627336499200;pt;Brasilia;ambientedomeio;"Mudança climática gera aumento no atendimento a crianças com doenças respiratórias https://t.co/Y7hegVDrF5 https://t.co/q0NRK5S99J";"";"";""
989815577157005312;pt;Brasilia;CarolissimaBhz;"";"duas coisas vão acabar com o mundo: as drogas e os chatos. (o aquecimento global não vai ter nem tempo...)";"";""
989820567225290752;pt;Brasilia;SAM_BALIEIROH;"";"duas coisas vão acabar com o mundo: as drogas e os chatos. (o aquecimento global não vai ter nem tempo...)";"";""
989830843030999043;pt;Brasilia;touchoseok;"";"132 - "Porque todo mundo é quente?" "Aquecimento global" JCKSNCKSJZKAIXSK BERRO https://t.co/dqNAAS40cY";"";""
989832847644119040;pt;Brasilia;comunicaUNIRIO;"";"Físicos desenvolvem espectrômetro de infravermelho que cabe em um chip Dispositivo poderá ser integrado a drones, smartphones e outros equipamentos para detectar compostos químicos e monitorar gases de efeito estufa https://t.co/s1DjM2U1dd #Unicamp #Ciência #Sociedade #Inovação https://t.co/8VUkwnO85R";"";""
989832937830060032;pt;America/Sao_Paulo;andrezastefani;"@0Leduino Friolento é a chegada do inverno em tempos de aquecimento global ou o lema dos Stark.";"";"";""
989843175564042241;pt;Brasilia;AndreTimotheo;"";"Físicos desenvolvem espectrômetro de infravermelho que cabe em um chip Dispositivo poderá ser integrado a drones, smartphones e outros equipamentos para detectar compostos químicos e monitorar gases de efeito estufa https://t.co/s1DjM2U1dd #Unicamp #Ciência #Sociedade #Inovação https://t.co/8VUkwnO85R";"";""
989843655958679552;pt;Brasilia;ceticismo;"(Post antigo. Confira) Para combater o aquecimento global, Chile abole paletó e gravata https://t.co/tg3vGbA4Cr #OLD";"";"";""
